Year,Datetime,Stage,Stadium,Home Team Name,Home Team Goals,Away Team Goals,Away Team Name,Win conditions,Half-time Home Goals,Half-time Away Goals,MatchID,Home Team Initials,Away Team Initials
1930,13 Jul 1930 - 15:00,Group 1,Pocitos,France,4,1,Mexico, ,3,0,1096,FRA,MEX
1930,13 Jul 1930 - 15:00,Group 4,Parque Central,USA,3,0,Belgium, ,2,0,1090,USA,BEL
1930,14 Jul 1930 - 12:45,Group 2,Parque Central,Yugoslavia,2,1,Brazil, ,2,0,1093,YUG,BRA
1930,14 Jul 1930 - 14:50,Group 3,Pocitos,Romania,3,1,Peru, ,1,0,1098,ROU,PER
1930,15 Jul 1930 - 16:00,Group 1,Parque Central,Argentina,1,0,France, ,0,0,1085,ARG,FRA
1930,16 Jul 1930 - 14:45,Group 1,Parque Central,Chile,3,0,Mexico, ,1,0,1095,CHI,MEX
1930,17 Jul 1930 - 12:45,Group 2,Parque Central,Yugoslavia,4,0,Bolivia, ,0,0,1092,YUG,BOL
1930,17 Jul 1930 - 14:45,Group 4,Parque Central,USA,3,0,Paraguay, ,2,0,1097,USA,PAR
1930,18 Jul 1930 - 14:30,Group 3,Estadio Centenario,Uruguay,1,0,Peru, ,0,0,1099,URU,PER
1930,19 Jul 1930 - 12:50,Group 1,Estadio Centenario,Chile,1,0,France, ,0,0,1094,CHI,FRA
1930,19 Jul 1930 - 15:00,Group 1,Estadio Centenario,Argentina,6,3,Mexico, ,3,1,1086,ARG,MEX
1930,20 Jul 1930 - 13:00,Group 2,Estadio Centenario,Brazil,4,0,Bolivia, ,1,0,1091,BRA,BOL
1930,20 Jul 1930 - 15:00,Group 4,Estadio Centenario,Paraguay,1,0,Belgium, ,1,0,1089,PAR,BEL
1930,21 Jul 1930 - 14:50,Group 3,Estadio Centenario,Uruguay,4,0,Romania, ,4,0,1100,URU,ROU
1930,22 Jul 1930 - 14:45,Group 1,Estadio Centenario,Argentina,3,1,Chile, ,2,1,1084,ARG,CHI
1930,26 Jul 1930 - 14:45,Semi-finals,Estadio Centenario,Argentina,6,1,USA, ,1,0,1088,ARG,USA
1930,27 Jul 1930 - 14:45,Semi-finals,Estadio Centenario,Uruguay,6,1,Yugoslavia, ,3,1,1101,URU,YUG
1930,30 Jul 1930 - 14:15,Final,Estadio Centenario,Uruguay,4,2,Argentina, ,1,2,1087,URU,ARG
1934,27 May 1934 - 16:30,Preliminary round,Stadio Benito Mussolini,Austria,3,2,France,Austria win after extra time ,0,0,1104,AUT,FRA
1934,27 May 1934 - 16:30,Preliminary round,Giorgio Ascarelli,Hungary,4,2,Egypt, ,2,2,1119,HUN,EGY
1934,27 May 1934 - 16:30,Preliminary round,San Siro,Switzerland,3,2,Netherlands, ,2,1,1133,SUI,NED
1934,27 May 1934 - 16:30,Preliminary round,Littorale,Sweden,3,2,Argentina, ,1,1,1102,SWE,ARG
1934,27 May 1934 - 16:30,Preliminary round,Giovanni Berta,Germany,5,2,Belgium, ,1,2,1108,GER,BEL
1934,27 May 1934 - 16:30,Preliminary round,Luigi Ferraris,Spain,3,1,Brazil, ,3,0,1111,ESP,BRA
1934,27 May 1934 - 16:30,Preliminary round,Nazionale PNF,Italy,7,1,USA, ,3,0,1135,ITA,USA
1934,27 May 1934 - 16:30,Preliminary round,Littorio,Czechoslovakia,2,1,Romania, ,0,1,1141,TCH,ROU
1934,31 May 1934 - 16:30,Quarter-finals,Stadio Benito Mussolini,Czechoslovakia,3,2,Switzerland, ,1,1,1143,TCH,SUI
1934,31 May 1934 - 16:30,Quarter-finals,San Siro,Germany,2,1,Sweden, ,0,0,1129,GER,SWE
1934,31 May 1934 - 16:30,Quarter-finals,Giovanni Berta,Italy,1,1,Spain, ,0,0,1122,ITA,ESP
1934,31 May 1934 - 16:30,Quarter-finals,Littorale,Austria,2,1,Hungary, ,1,0,1106,AUT,HUN
1934,01 Jun 1934 - 16:30,Quarter-finals,Giovanni Berta,Italy,1,0,Spain, ,1,0,1123,ITA,ESP
1934,03 Jun 1934 - 16:30,Semi-finals,San Siro,Italy,1,0,Austria, ,1,0,1107,ITA,AUT
1934,03 Jun 1934 - 16:30,Semi-finals,Nazionale PNF,Czechoslovakia,3,1,Germany, ,1,0,1130,TCH,GER
1934,07 Jun 1934 - 18:00,Match for third place,Giorgio Ascarelli,Germany,3,2,Austria, ,3,1,1105,GER,AUT
1934,10 Jun 1934 - 17:30,Final,Nazionale PNF,Italy,2,1,Czechoslovakia,Italy win after extra time ,0,0,1134,ITA,TCH
1938,04 Jun 1938 - 17:00,First round,Parc des Princes,Switzerland,1,1,Germany, ,0,0,1165,SUI,GER
1938,05 Jun 1938 - 17:00,First round,Velodrome Municipale,Hungary,6,0,Dutch East Indies, ,4,0,1173,HUN,INH
1938,05 Jun 1938 - 17:00,First round,Stade Olympique,France,3,1,Belgium, ,2,1,1146,FRA,BEL
1938,05 Jun 1938 - 17:00,First round,Stade Municipal,Cuba,3,3,Romania, ,0,0,1156,CUB,ROU
