Team Initials,Player Name
SRB,?URI?I?
MEX,A BAUTISTA
ENG,A COLE
MEX,A GUARDADO
MEX,A MEDINA
KSA,A. AL-DOSSARY
KSA,A. AL-GANOUBI
POR,A. ALMEIDA
GHA,A. AYEW
POL,A. BAK
COL,A. BALANTA
PRK,A. CHOL HYOK
BRA,A. CRUZ
IRN,A. DAEI
ECU,A. DELGADO
FRA,A. DIARRA
URU,A. FERNANDEZ
MEX,A. GARCIA ASPE
URU,A. GONZALEZ
MEX,A. GUARDADO
GHA,A. GYAN
IRN,A. HAGHIGHI
URU,A. HERNANDEZ
ESP,A. INIESTA
TRI,A. JOHN
IRL,A. KELLY
IRN,A. LATIFI
ESP,A. LOPEZ
SEN,A. M. NDIAYE
KSA,A. MADANI
COL,A. MEJIA
RSA,A. MOKOENA
MEX,A. NAELSON
URU,A. PEREIRA
MEX,A. PULIDO
IRN,A. R. ABEDZADEH
IRN,A. R. MANSOURIAN
MEX,A. RODRIGUEZ
PAR,A. ROJAS
CMR,A. SONG
SWE,A. SVENSSON
MEX,A. TALAVERA
TOG,A. TOURE
ECU,A. VALENCIA
PRK,A. YONG HAK
KSA,A. ZUBROMAWI
IRN,A.A. OSTAD ASADI
IRN,A.BORHANI
IRN,A.DAEI
ESP,A.INIESTA
IRN,A.KARIMI
URU,A.LEMBO
URU,A.PEREIRA
URU,A.RECOBA
IRN,A.SADEGHI
JAM,Aaron LAWRENCE
MEX,Aaron PADILLA
TOG,ABALO
CMR,ABANDA
ITA,ABATE
ITA,ABBIATI
ARG,ABBONDANZIERI
MAR,Abdallah LAMRANI
MAR,Abdel Aziz SOULAYMANI
FRA,Abdel Kader BEN BOUALI
EGY,Abdel Rahman FAWZI
EGY,Abdel SHARLI
FRA,Abdelaziz BEN-TIFOUR
MAR,Abdelfettah HOUDANI
MAR,Abdelfettah RHIATI
ALG,Abdelhamid SADMI
MAR,Abdelilah SABER
MAR,Abdeljalil HADDA
MAR,Abdelkader EL BRAZI
MAR,Abdelkader EL KHYATI
ALG,Abdelkader HORR
MAR,Abdelkarim EL HADRIOUI
MAR,Abdelkarim KRIMAU
MAR,Abdellah BIDAR
ALG,Abdellah MEDJADI
MAR,Abdellah OURIAGHLI
ALG,Abdelmajid BOUREBBOU
MAR,Abdelmajid BOUYBOUD
MAR,Abdelmajid DOLMY
MAR,Abdelmajid LAMRISS
MAR,Abdelrazzak KHAIRI
MAR,Abdelslam LAGHRISSI
MAR,Abderrahim OUAKILI
FRA,Abderrhamane MAHJOUB
ALG,ABDOUN
IRQ,ABDUL RAHIM
KUW,Abdulaziz AL ANBARI
KUW,Abdulaziz AL BALUSHI
UAE,ABDULAZIZ MOHAMED
KUW,Abdulaziz MOHAMMED
TUR,ABDULLAH
KSA,Abdullah AL DOSARI
KUW,Abdullah MAYUF
UAE,ABDULLAH MUSA
UAE,Abdullah SULTAN
KSA,Abdullah ZUBROMAWI
UAE,Abdulrahman AL HADDAD
JPN,ABE
BRA,ABEL
ARG,Abel BALBO
POR,ABEL XAVIER
ESP,ABELARDO
FRA,ABIDAL
NGA,Abiodun BARUWA
ANG,ABOU TARIKA
CMR,ABOUBAKAR
BRA,ACACIO
PAR,ACEVAL
ECU,ACHILIER
INH,Achmad NAWIR
SVN,ACIMOVIC
CRC,ACOSTA J.
GHA,ACQUAH
PAR,ACUNA
CHI,ACU�A
ROU,Adalbert DESU
ROU,Adalbert PULLOCK
ROU,Adalbert STEINER
BUL,Adalbert ZAFIROV
KUW,Adam ADAM
POL,Adam MUSIAL
POL,Adam NAWALKA
USA,Adam WOLANIN
CHI,Adan GODOY
BRA,ADAOZINHO
GHA,ADDY
TOG,ADEBAYOR
EGY,Adel ABDELRAHMAN
TUN,Adel EL SELLIMI
ESP,ADELARDO
NGA,ADELEYE
COL,Adelmo VIVAS
BRA,ADEMIR
BRA,ADEMIR DA GUIA
NGA,ADEPOJU
GHA,ADIYIAH
GHA,ADJEI
UAE,ADNAN AL TALYANI
BRA,ADO
TCH,Adolf SCHERER
SUI,Adolf STELZER
PAR,Adolfino CANETE
CHI,Adolfo NEF
URU,Adolfo ZEOLI
ARG,Adolfo ZUMELZU
SUI,Adolphe HUG
GHA,ADOMAH
NED,Adri VAN KRAAY
NED,Adri VAN TIGGELEN
NED,Adriaan VAN MALE
AUS,Adrian ALSTON
MEX,Adrian CHAVEZ
NZL,Adrian ELRICK
ROU,Adrian ILIE
SUI,Adrian KNUP
ROU,Adrian POPESCU
BRA,ADRIANO
NED,AFELLAY
NGA,AFOLABI
BRA,AFONSINHO
TOG,AGASSA
NGA,AGBIM
TOG,AGBOH
DEN,AGGER
NGA,AGHAHOWA
SWE,Agne SIMONSSON
USA,AGOOS
TUN,Agrebi BEN REHAIEM
ARG,AGUERO
COL,AGUILAR T.
ESP,AGUILERA
ECU,AGUINAGA
PAR,Agustin MIRANDA
GHA,AGYEI
ISR,Aharon SHURUK
IRN,AHMAD
KUW,Ahmed AL TARABULSI
MAR,Ahmed ALAOUI
MAR,Ahmed BAHJA
EGY,Ahmed EL KASS
MAR,Ahmed FARAS
IRQ,Ahmed JASSIM
MAR,Ahmed MASBAHI
IRQ,Ahmed RADHI
EGY,Ahmed RAMZY
EGY,Ahmed SHOBEIR
GHA,AHORLU
ARG,AIMAR
ANG,AIROSA
NGA,AIYENUGBA
CIV,AKALE
SWE,Ake ANDERSSON
SWE,Ake JOHANSSON
URS,Akhrik TSVEIBA
RUS,AKINFEEV
JPN,Akira NARAHASHI
JPN,AKITA
TOG,AKOTO
CIV,AKPA JD
NGA,AKWUEGBU
ANG,AKW�
USA,Al HARKER
KSA,AL HASAN A.H.
IRQ,AL ROUBAI GHANIM
KSA,AL-ANTAIF
KSA,AL-DAYEA
KSA,AL-DEAYEA
KSA,AL-SADIG
EGY,Alaa MAYHOUB
FRA,Alain BOGHOSSIAN
FRA,Alain COURIOL
CMR,Alain EYOBO MAKONGO
SUI,Alain GEIGER
FRA,Alain GIRESSE
SUI,Alain SUTTER
ENG,Alan A COURT
ENG,Alan BALL
SCO,Alan BRAZIL
SCO,Alan HANSEN
ENG,Alan HODGKINSON
IRL,Alan KELLY JR.
IRL,Alan KERNAGHAN
NIR,Alan McDONALD
SCO,Alan McINALLY
IRL,Alan McLOUGHLIN
ENG,Alan MULLERY
ENG,Alan PEACOCK
SCO,Alan ROUGH
ENG,Alan SHEARER
KSA,ALBAHRI
ESP,ALBELDA
ITA,Alberigo EVANI
FRG,Albert BRUELLS
SUI,Albert BUCHE
SUI,Albert GUINCHARD
BEL,Albert HEREMANS
ENG,Albert QUIXALL
FRA,Albert RUST
URS,Albert SHESTERNYOV
ITA,ALBERTINI
BOL,Alberto ACHA
MEX,Alberto BAEZA
URU,Alberto CARDACCIO
ARG,Alberto CHIVIDINI
PER,Alberto DENEGRI
CHI,Alberto FOUILLOUX
ARG,Alberto GALATEO
PER,Alberto GALLARDO
MEX,Alberto GARCIA ASPE
URU,Alberto GOMEZ
PAR,Alberto GONZALEZ
ESP,Alberto GORRIZ
ARG,Alberto MARIOTTI
CHI,Alberto QUINTANO
ARG,Alberto SAINZ
PER,Alberto SORIA
ARG,Alberto TARANTINI
CHI,Alberto VALENTINI
SLV,Alberto VILLALTA
GER,Albin KITZINGER
KSA,ALBISHI
CHI,ALBORNOZ
USA,ALBRIGHT
PAR,ALCARAZ
URU,Alcides GHIGGIA
BRA,ALCINDO
BRA,ALDAIR
KSA,ALDEAYEA
BEL,ALDERWEIRELD
ITA,Aldo CAMPATELLI
ITA,Aldo DONATI
USA,Aldo DONELLI
ITA,Aldo MALDERA
ITA,Aldo OLIVIERI
ARG,Aldo POY
ITA,Aldo SERENA
MEX,Alejandro DOMINGUEZ
ARG,Alejandro MANCUSO
ARG,Alejandro SCOPELLI
PER,Alejandro VILLANUEVA
GRE,Alekos ALEXANDRIS
YUG,Aleksandar ATANACKOVIC
YUG,Aleksandar IVOS
BUL,Aleksandar KOSTOV
BUL,Aleksandar MARKOV
YUG,Aleksandar PETAKOVIC
BUL,Aleksandar SHALAMANOV
YUG,Aleksandar TIRNANIC
URS,Aleksandr BORODYUK
URS,Aleksandr BUBNOV
URS,Aleksandr IVANOV
RUS,Aleksandr MOSTOVOI
URS,Aleksandr UVAROV
URS,Aleksandr ZAVAROV
URS,Aleksandre CHIVADZE
URS,Aleksei MAMYKIN
BRA,ALEMAO
YUG,Alen BOKSIC
RUS,ALENICHEV
ITA,Alessandro ALTOBELLI
ITA,Alessandro COSTACURTA
ITA,Alessandro DEL PIERO
SUI,Alessandro FRIGERIO
ITA,Alessandro NESTA
JPN,ALEX
BEL,Alex CZERNIATYNSKI
NED,Alex GRAAFLAND
SCO,Alex McLEISH
SCO,Alex PARKER
SCO,Alex SCOTT
ENG,Alex STEPNEY
FRA,Alex THEPOT
FRA,Alex VILLAPLANE
SCO,Alex WILSON
TCH,Alexander HORVATH
TCH,Alexander VENCEL
USA,Alexander WOOD
SWE,ALEXANDERSSON
POR,ALEXANDRE BAPTISTA
CRC,Alexandre GUIMARAES
ROU,Alexandru CUEDAN
ROU,Alexandru NEAGU
URS,Alexey KORNEEV
USA,Alexi LALAS
CHI,ALEXIS
GRE,Alexis ALEXIOU
GRE,Alexis ALEXOUDIS
BEL,Alexis CHANTRAINE
COL,Alexis MENDOZA
NOR,Alf HALAND
NOR,Alf MARTINSEN
ENG,Alf RAMSEY
CRC,ALFARO W.
BEL,Alfons VAN BRANDT
BEL,Alfonse PEETERS
ESP,ALFONSO
URU,Alfonso DOMINGUEZ
CHI,Alfonso LARA
ARG,Alfonso LORENZO
MEX,Alfonso MONTEMAYOR
URU,Alfonso PEREIRA
MEX,Alfonso PORTUGAL
ESP,Alfonso SILVA
FRA,Alfred ASTON
ROU,Alfred EISENBEISSER
AUT,Alfred HOERTNAGL
SUI,Alfred JAECK
FRG,Alfred KELBASSA
AUT,Alfred KOERNER
NIR,Alfred McMICHAEL
FRG,Alfred PFAFF
RSA,Alfred PHIRI
FRG,Alfred SCHMIDT
AUT,Alfred TEINITZER
BRA,ALFREDO
ARG,Alfredo DE VINCENZI
MEX,Alfredo DEL AGUILA
ESP,Alfredo DI STEFANO
ITA,Alfredo FONI
MEX,Alfredo HERNANDEZ
BRA,ALFREDO II
PAR,Alfredo MENDOZA
ARG,Alfredo PEREZ
PER,Alfredo QUESADA
BRA,ALFREDO RAMOS
ARG,Alfredo ROJAS
MEX,Alfredo SANCHEZ
MEX,Alfredo TENA
MEX,Alfredo TORRES
SLV,Alfredo VASQUEZ
GHA,ALHASSAN
ALG,Ali BENCHEIKH
TUN,Ali BOUMNIJEL
MAR,Ali EL KHATTABI
ALG,Ali FERGANI
IRQ,ALI JAMAL
TUN,Ali KAABI
EGY,Ali Mohammed EL KAF
IRN,Ali PARWIN
IRN,Ali Reza GHESHGHAIAN
IRN,Ali SHOJAEI
UAE,Ali Thani JUMAA
ALG,Alim BEN MABROUK
CMR,Alioum BOUKAR
CMR,ALIOUMBOUKAR
IRN,ALIREZA
SCO,Alistair McCOIST
KSA,ALJABER
KSA,ALJABER 
KSA,ALJAHANI
CRO,Aljosa ASANOVIC
KSA,ALKHATHRAN
ESP,ALKORTA M.
MAR,Allal BEN KASSOU
NZL,Allan BOATH
SCO,Allan BROWN
ENG,Allan CLARKE
HON,Allan COSTLY
SCO,Allan EVANS
AUS,Allan MAHER
DEN,Allan NIELSEN
DEN,Allan SIMONSEN
SWE,ALLBACK
SWE,ALLB�CK
ENG,Allenby CHILTON
NGA,Alloy AGU
ARG,ALMEYDA
KSA,ALMONTASHARI
CMR,ALNOUDJI
AUS,ALOISI
ESP,ALONSO
KSA,ALOWAIRAN
TUR,ALPAY
BEL,Alphonse DE WINTER
CMR,Alphonse YOMBI
KSA,ALSHAHRANI
KSA,ALSHALHOUB 
KSA,ALSHLHOUB
BRA,ALTAIR
KSA,ALTHAGAFI
USA,ALTIDORE
PAR,ALVARENGA
HON,ALVAREZ
POR,ALVARO
URU,Alvaro GESTIDO
BOL,Alvaro PENA
SWE,ALVB�GE
ENG,Alvin MARTIN
KSA,ALWAKED
ARG,Amadeo CARRIZO
PAR,Amadeo ORTEGA
ESP,AMANCIO
BRA,AMARAL
