RoundID,MatchID,Team Initials,Coach Name,Line-up,Shirt Number,Player Name,Position,Event,
255931,300186475,POR,PAULO BENTO (POR),N,19,A. ALMEIDA,,I65',
255931,300186512,GHA,APPIAH James (GHA),S,10,A. AYEW,,G82',
255931,300186471,COL,PEKERMAN Jose (ARG),N,16,A. BALANTA,,,
255931,300186477,ARG,SABELLA Alejandro (ARG),N,13,A. FERNANDEZ,,,
255931,300186489,URU,TABAREZ Oscar (URU),N,20,A. GONZALEZ,,I60',
255931,300186492,MEX,HERRERA Miguel (MEX),S,18,A. GUARDADO,,O69',
255931,300186512,GHA,APPIAH James (GHA),S,3,A. GYAN,C,,
255931,300186505,IRN,Carlos QUEIR�S (POR),S,12,A. HAGHIGHI,GK,,
255931,300186489,URU,TABAREZ Oscar (URU),N,8,A. HERNANDEZ,,I76',
255931,300186510,ESP,DEL BOSQUE Vicente (ESP),S,6,A. INIESTA,,,
255931,300186471,COL,PEKERMAN Jose (ARG),N,15,A. MEJIA,,I69',
255931,300186489,URU,TABAREZ Oscar (URU),N,6,A. PEREIRA,,,
255931,300186492,MEX,HERRERA Miguel (MEX),N,11,A. PULIDO,,,
255931,300186492,MEX,HERRERA Miguel (MEX),N,12,A. TALAVERA,GK,,
255931,300186494,ECU,RUEDA Reinaldo (COL),S,16,A. VALENCIA,C,,
255931,300186513,ITA,Cesare PRANDELLI (ITA),N,7,ABATE,,,
255931,300186492,CMR,Volker FINKE (GER),N,10,ABOUBAKAR,,,
255931,300186494,ECU,RUEDA Reinaldo (COL),N,21,ACHILIER,,,
255931,300186489,CRC,PINTO Jorge Luis (COL),N,2,ACOSTA J.,,,
255931,300186512,GHA,APPIAH James (GHA),N,6,ACQUAH,,,
255931,300186512,GHA,APPIAH James (GHA),N,14,ADOMAH,,I78',
255931,300186505,NGA,KESHI Stephen (NGA),N,21,AGBIM,GK,,
255931,300186477,ARG,SABELLA Alejandro (ARG),S,20,AGUERO,,O87',
255931,300186471,COL,PEKERMAN Jose (ARG),S,8,AGUILAR T.,,O69',
255931,300186505,IRN,Carlos QUEIR�S (POR),N,17,AHMAD,,,
255931,300186499,RUS,CAPELLO Fabio (ITA),S,1,AKINFEEV,GK,,
255931,300186507,CIV,LAMOUCHI Sabri (FRA),N,7,AKPA JD,,,
255931,300186473,CHI,SAMPAOLI Jorge (ARG),N,3,ALBORNOZ,,,
255931,300186479,BEL,WILMOTS Marc (BEL),S,2,ALDERWEIRELD,,,
255931,300186473,CHI,SAMPAOLI Jorge (ARG),S,7,ALEXIS,,G12',
255931,300186505,IRN,Carlos QUEIR�S (POR),N,9,ALIREZA,,I73',
255931,300186510,ESP,DEL BOSQUE Vicente (ESP),S,14,ALONSO,,P27' O62',
255931,300186512,USA,KLINSMANN Juergen (GER),S,17,ALTIDORE,,O23',
255931,300186477,ARG,SABELLA Alejandro (ARG),N,19,ALVAREZ,,,
255931,300186505,NGA,KESHI Stephen (NGA),S,5,AMBROSE,,,
255931,300186505,NGA,KESHI Stephen (NGA),N,23,AMEOBI,,I52',
255931,300186505,IRN,Carlos QUEIR�S (POR),S,5,AMIRHOSSEIN,,,
255931,300186505,IRN,Carlos QUEIR�S (POR),S,14,ANDRANIK,,Y75',
255931,300186477,ARG,SABELLA Alejandro (ARG),N,21,ANDUJAR,GK,,
255931,300186507,JPN,ZACCHERONI Alberto (ITA),N,14,AOYAMA,,,
255931,300186513,ITA,Cesare PRANDELLI (ITA),N,14,AQUILANI,,,
255931,300186471,COL,PEKERMAN Jose (ARG),N,4,ARIAS,,I74',
255931,300186494,ECU,RUEDA Reinaldo (COL),N,15,ARROYO,,I70',
255931,300186492,CMR,Volker FINKE (GER),S,2,ASSOU EKOTTO,,,
