year,match_date,stage,stadium,home_name,home_final_score,away_final_score,away_name,win_condition,home_half_score,away_half_score,match_id
1930,13 Jul 1930 - 15:00,Group 1,Pocitos,France,4,1,Mexico, ,3,0,1096
1930,13 Jul 1930 - 15:00,Group 4,Parque Central,USA,3,0,Belgium, ,2,0,1090
1930,14 Jul 1930 - 12:45,Group 2,Parque Central,Yugoslavia,2,1,Brazil, ,2,0,1093
1930,14 Jul 1930 - 14:50,Group 3,Pocitos,Romania,3,1,Peru, ,1,0,1098
1930,15 Jul 1930 - 16:00,Group 1,Parque Central,Argentina,1,0,France, ,0,0,1085
1930,16 Jul 1930 - 14:45,Group 1,Parque Central,Chile,3,0,Mexico, ,1,0,1095
1930,17 Jul 1930 - 12:45,Group 2,Parque Central,Yugoslavia,4,0,Bolivia, ,0,0,1092
1930,17 Jul 1930 - 14:45,Group 4,Parque Central,USA,3,0,Paraguay, ,2,0,1097
1930,18 Jul 1930 - 14:30,Group 3,Estadio Centenario,Uruguay,1,0,Peru, ,0,0,1099
1930,19 Jul 1930 - 12:50,Group 1,Estadio Centenario,Chile,1,0,France, ,0,0,1094
1930,19 Jul 1930 - 15:00,Group 1,Estadio Centenario,Argentina,6,3,Mexico, ,3,1,1086
1930,20 Jul 1930 - 13:00,Group 2,Estadio Centenario,Brazil,4,0,Bolivia, ,1,0,1091
1930,20 Jul 1930 - 15:00,Group 4,Estadio Centenario,Paraguay,1,0,Belgium, ,1,0,1089
1930,21 Jul 1930 - 14:50,Group 3,Estadio Centenario,Uruguay,4,0,Romania, ,4,0,1100
1930,22 Jul 1930 - 14:45,Group 1,Estadio Centenario,Argentina,3,1,Chile, ,2,1,1084
1930,26 Jul 1930 - 14:45,Semi-finals,Estadio Centenario,Argentina,6,1,USA, ,1,0,1088
1930,27 Jul 1930 - 14:45,Semi-finals,Estadio Centenario,Uruguay,6,1,Yugoslavia, ,3,1,1101
1930,30 Jul 1930 - 14:15,Final,Estadio Centenario,Uruguay,4,2,Argentina, ,1,2,1087
1934,27 May 1934 - 16:30,Preliminary round,Stadio Benito Mussolini,Austria,3,2,France,Austria win after extra time ,0,0,1104
1934,27 May 1934 - 16:30,Preliminary round,Giorgio Ascarelli,Hungary,4,2,Egypt, ,2,2,1119
1934,27 May 1934 - 16:30,Preliminary round,San Siro,Switzerland,3,2,Netherlands, ,2,1,1133
1934,27 May 1934 - 16:30,Preliminary round,Littorale,Sweden,3,2,Argentina, ,1,1,1102
1934,27 May 1934 - 16:30,Preliminary round,Giovanni Berta,Germany,5,2,Belgium, ,1,2,1108
1934,27 May 1934 - 16:30,Preliminary round,Luigi Ferraris,Spain,3,1,Brazil, ,3,0,1111
1934,27 May 1934 - 16:30,Preliminary round,Nazionale PNF,Italy,7,1,USA, ,3,0,1135
1934,27 May 1934 - 16:30,Preliminary round,Littorio,Czechoslovakia,2,1,Romania, ,0,1,1141
1934,31 May 1934 - 16:30,Quarter-finals,Stadio Benito Mussolini,Czechoslovakia,3,2,Switzerland, ,1,1,1143
1934,31 May 1934 - 16:30,Quarter-finals,San Siro,Germany,2,1,Sweden, ,0,0,1129
1934,31 May 1934 - 16:30,Quarter-finals,Giovanni Berta,Italy,1,1,Spain, ,0,0,1122
