WorldCups
year,host_country,champion,runner_up,third_place,fourth_place,attendance
1930,Uruguay,Uruguay,Argentina,USA,Yugoslavia,590.549
1934,Italy,Italy,Czechoslovakia,Germany,Austria,363.000
1938,France,Italy,Hungary,Brazil,Sweden,375.700
1950,Brazil,Uruguay,Brazil,Sweden,Spain,1.045.246
1954,Switzerland,Germany FR,Hungary,Austria,Uruguay,768.607
1958,Sweden,Brazil,Sweden,France,Germany FR,819.810
1962,Chile,Brazil,Czechoslovakia,Chile,Yugoslavia,893.172
1966,England,England,Germany FR,Portugal,Soviet Union,1.563.135
1970,Mexico,Brazil,Italy,Germany FR,Uruguay,1.603.975
1974,Germany,Germany FR,Netherlands,Poland,Brazil,1.865.753
1978,Argentina,Argentina,Netherlands,Brazil,Italy,1.545.791
1982,Spain,Italy,Germany FR,Poland,France,2.109.723
1986,Mexico,Argentina,Germany FR,France,Belgium,2.394.031
1990,Italy,Germany FR,Argentina,Italy,England,2.516.215
1994,USA,Brazil,Italy,Sweden,Bulgaria,3.587.538
1998,France,France,Brazil,Croatia,Netherlands,2.785.100
2002,Korea/Japan,Brazil,Germany,Turkey,Korea Republic,2.705.197
2006,Germany,Italy,France,Germany,Portugal,3.359.439
2010,South Africa,Spain,Netherlands,Germany,Uruguay,3.178.856
2014,Brazil,Germany,Argentina,Netherlands,Brazil,3.386.810
